"date_dt","c_agent","contract","doc","division","frc","nom_g","div_frc","nom_frc","amount"
2025-01-31 13:56:00.000,КАМСКИЙ КАБЕЛЬ ООО,Договор №АТП-П 029/13 от 27.11.12г.,"Реализация (акт, накладная, УПД) 00БП-000033 от 31.01.2025 13:56:26","11 ООО МЗ ""Камасталь"", ""Камский кабель""",Оценка и технический контроль,"01-1. Контроль качества продукции",Оценка и технический контроль,Оценка и технический контроль,44009.07
2025-01-31 13:56:00.000,СОМЗ ООО,Договор №АТП-П 124/14 от 05.06.14г.,"Реализация (акт, накладная, УПД) 00БП-000034 от 31.01.2025 13:56:27","11 ООО МЗ ""Камасталь"", ""Камский кабель""",Оценка и технический контроль,"01-1. Контроль качества продукции",Оценка и технический контроль,Оценка и технический контроль,45521.3
2025-01-31 13:56:00.000,СОМЗ ООО,Договор №АТП-П 124/14 от 05.06.14г.,"Реализация (акт, накладная, УПД) 00БП-000034 от 31.01.2025 13:56:27","11 ООО МЗ ""Камасталь"", ""Камский кабель""",Оценка и технический контроль,"01-1. Контроль качества продукции",Оценка и технический контроль,Оценка и технический контроль,106740.95
2025-01-31 13:56:00.000,СОМЗ ООО,Договор №АТП-П 124/14 от 05.06.14г.,"Реализация (акт, накладная, УПД) 00БП-000034 от 31.01.2025 13:56:27","11 ООО МЗ ""Камасталь"", ""Камский кабель""",Оценка и технический контроль,"01-1. Контроль качества продукции",Оценка и технический контроль,Оценка и технический контроль,372181.4
2025-01-31 13:56:00.000,СОМЗ ООО,Договор №АТП-П 124/14 от 05.06.14г.,"Реализация (акт, накладная, УПД) 00БП-000034 от 31.01.2025 13:56:27","11 ООО МЗ ""Камасталь"", ""Камский кабель""",Оценка и технический контроль,"01-1. Контроль качества продукции",Оценка и технический контроль,Оценка и технический контроль,32807.04
2025-01-31 13:56:00.000,Соликамский магниевый завод ОАО,Договор №АТП-П 184/16 от 15.12.15г.,"Реализация (акт, накладная, УПД) 00БП-000035 от 31.01.2025 13:56:28","11 ООО МЗ ""Камасталь"", ""Камский кабель""",Оценка и технический контроль,"01-1. Контроль качества продукции",Оценка и технический контроль,Оценка и технический контроль,18453.5
2025-01-31 13:56:00.000,Соликамский магниевый завод ОАО,Договор №АТП-П 184/16 от 15.12.15г.,"Реализация (акт, накладная, УПД) 00БП-000035 от 31.01.2025 13:56:28","11 ООО МЗ ""Камасталь"", ""Камский кабель""",Оценка и технический контроль,"01-1. Контроль качества продукции",Оценка и технический контроль,Оценка и технический контроль,53087.4
2025-01-31 13:56:00.000,Соликамский магниевый завод ОАО,Договор №АТП-П 184/16 от 15.12.15г.,"Реализация (акт, накладная, УПД) 00БП-000035 от 31.01.2025 13:56:28","11 ООО МЗ ""Камасталь"", ""Камский кабель""",Оценка и технический контроль,"01-1. Контроль качества продукции",Оценка и технический контроль,Оценка и технический контроль,186322.31
2025-01-31 13:56:00.000,Соликамский магниевый завод ОАО,Договор №АТП-П 184/16 от 15.12.15г.,"Реализация (акт, накладная, УПД) 00БП-000035 от 31.01.2025 13:56:28","11 ООО МЗ ""Камасталь"", ""Камский кабель""",Оценка и технический контроль,"01-1. Контроль качества продукции",Оценка и технический контроль,Оценка и технический контроль,61560
2025-01-31 13:56:00.000,ПЛЕЗИМЕТ ООО МЗ,Договор №АТП-П 311/19 от 24.12.19г.,"Реализация (акт, накладная, УПД) 00БП-000036 от 31.01.2025 13:56:29","11 ООО МЗ ""Камасталь"", ""Камский кабель""",Оценка и технический контроль,"01-1. Контроль качества продукции",Оценка и технический контроль,Оценка и технический контроль,271635.96
